episode,total_reward
105,-855.8082934617996
106,-735.7123692035675
107,-1405.1447296515107
108,-697.0603967159986
109,-1354.5740871876478
110,-625.971216969192
111,-670.7068163976073
112,-541.387953042984
113,-818.3424936980009
114,-425.51704850792885
115,-700.5562124848366
116,-812.5207820534706
117,-1055.4237626194954
118,-856.7730728089809
119,-1123.0281209424138
120,-1204.483231820166
121,-972.0172225534916
122,-1261.678123652935
123,-1421.5516751408577
124,-942.9585866555572
125,-1052.227391757071
126,-1253.859638735652
127,-1170.4356561750174
128,-1154.8749686032534
129,-1059.078736640513
130,-1115.7836079150438
131,-1401.6227465718985
132,-1371.617252588272
133,-1302.0876473486423
134,-1428.152116149664
135,-1444.646329075098
136,-1460.8769285827875
137,-1315.3019460514188
138,-1323.592548020184
139,-1217.1803463697433
140,-1423.2881558984518
141,-1327.6721082031727
142,-1316.7450501695275
143,-1179.4396578967571
144,-1304.8938449025154
145,-1326.500330887735
146,-1109.1808108761907
147,-1308.7356131896377
148,-1326.2099355980754
149,-1347.9688934385777
150,-1352.3192078769207
151,-1423.5417114645243
152,-1271.0401655361056
153,-1061.1364628225565
154,-1067.661104388535
155,-1088.7439095675945
156,-1087.3540430217981
157,-1065.5194578543305
158,-839.1761973574758
159,-1006.0932075530291
160,-915.0208405181766
161,-890.4308918565512
162,-900.0062077790499
163,-739.9986806884408
164,-528.6788047924638
165,-500.08770660310984
166,-587.4948825836182
167,-860.1881569623947
168,-792.8172488771379
169,-609.2247968837619
170,-602.7395237833261
171,-377.17645881325006
172,-578.8495803847909
173,-645.1225150376558
174,-600.1323227062821
175,-635.8096146062016
176,-559.9876029342413
177,-400.79246859252453
178,-473.90783999860287
179,-615.8085965588689
180,-662.9967952817678
181,-634.1922527775168
182,-729.7992676720023
183,-774.3505939692259
184,-651.2547831535339
185,-500.54211670160294
186,-918.7388345971704
187,-946.3346447497606
188,-1024.8367674797773
189,-1044.0757219195366
190,-1048.7726952135563
191,-897.6955470815301
192,-1045.9203491471708
193,-1151.3536422848701
194,-1237.162653453648
195,-1179.1141496673226
196,-1252.0297657325864
197,-1391.794916421175
198,-1107.9194228500128
199,-1236.9164947792888
200,-1395.0240008458495
201,-1103.4628778621554
202,-1079.6560695841908
203,-1005.1824273020029
204,-837.4828150644898
205,-951.3269336372614
206,-1067.2879664376378
207,-1080.5239788666368
208,-1181.4510741084814
209,-1349.8089054711163
210,-1311.9965923577547
211,-677.2374298349023
212,-801.0521362349391
213,-993.3995237499475
214,-1023.6783953011036
215,-1071.4178932756186
216,-1035.9230695292354
217,-720.5743878409266
218,-1083.6107997447252
219,-1049.3141035363078
220,-1085.8861868083477
221,-1220.533333092928
222,-1417.4036503136158
223,-1257.1465590521693
224,-1424.546222411096
225,-1361.134908221662
226,-1284.9307793974876
227,-1405.2948292680085
228,-1451.02632997185
229,-1405.6930046230555
230,-1437.3484257981181
231,-1252.7162694707513
232,-1434.7781307548285
233,-1263.5976280495524
234,-1191.9930257350206
235,-1460.3277184478939
236,-1374.3918578997254
237,-1414.5902101397514
238,-1378.7915020138025
239,-1291.2957388609648
240,-1332.899387523532
241,-1439.9957130923867
242,-1339.6835759207606
243,-1240.0624377131462
244,-1442.5366193279624
245,-1329.830430392176
246,-1407.3242777585983
247,-1375.2784954085946
248,-956.2661604210734
249,-1201.8424020335078
250,-1336.932622142136
251,-1358.5919913128018
252,-1353.6343055516481
253,-1316.8608019798994
254,-1424.5103940591216
255,-1354.1591029390693
256,-1423.1080008223653
257,-1245.170059479773
258,-1426.0025307312608
259,-1401.6339464858174
260,-1350.630612976849
261,-644.1806805953383
262,-1277.68754658103
263,-1337.6009187549353
264,-951.9032166153193
265,-801.9648375287652
266,-271.1424022614956
267,-436.6411917284131
268,-439.6266873255372
269,-416.83963353931904
270,-476.37705002725124
271,-635.2340651899576
272,-747.2067978829145
273,-502.93929252773523
274,-323.3254230245948
275,-453.49134466052055
276,-892.6738152503967
277,-960.1444864794612
278,-839.528373144567
279,-514.299765534699
280,-1067.2759851142764
281,-1221.5620022267103
282,-1284.268918775022
283,-1334.293609328568
284,-810.8353397026658
285,-375.2840184047818
286,-146.76952774077654
287,-213.82068165391684
288,-650.5579316616058
289,-556.8875707164407
290,-222.76269658654928
291,-766.6550108119845
292,-671.3314614146948
293,-420.68829188495874
294,-490.7709108442068
295,-189.37693241983652
296,-213.06074526906013
297,-198.90583953261375
298,-240.04345213621855
299,-253.2724259197712
300,-329.9314762353897
301,-356.19321321696043
302,-707.5274033695459
303,-829.4918794482946
304,-812.4124376773834
305,-728.3733892515302
306,-783.3788012936711
307,-707.9242113158107
308,-664.1774606481194
309,-505.91717421263456
310,-583.1326250806451
311,-597.7281797677279
312,-624.7840043231845
313,-540.4571037515998
314,-551.5905459821224
315,-546.0486435294151
316,-673.1887223049998
317,-280.310760140419
318,-716.1795459538698
319,-784.5671449154615
320,-578.3300013765693
321,-645.5152526199818
322,-667.1092594563961
323,-976.9717289507389
324,-919.2905634492636
325,-938.7472601272166
326,-750.3594569861889
327,-411.34277096390724
328,-699.3497478216887
329,-880.0611617714167
330,-687.6066113486886
331,-605.7682918608189
332,-394.58067582547665
333,-344.10338162630796
334,-325.1331582069397
335,-552.3749074935913
336,-901.5563640296459
337,-545.4063596874475
338,-670.6895430758595
339,-1297.2694316133857
340,-1263.5206432454288
341,-1431.382988885045
342,-1379.083866328001
343,-1306.8652954995632
344,-1299.4436664506793
345,-1312.4164630249143
346,-1333.100929543376
347,-1295.3263818770647
348,-1331.268566146493
349,-1208.5762961655855
350,-1405.6736215129495
351,-954.5497903674841
352,-483.8014296591282
353,-727.1722551509738
354,-753.1512150093913
355,-1043.2249005883932
356,-910.3840181529522
357,-969.4981876388192
358,-1204.8739327639341
359,-858.262672804296
360,-986.6176197566092
361,-1056.3755614385009
