episode,total_reward
286,-22.897551722123087
287,-18.353124117389335
288,-29.75205065859175
289,-19.671503569251577
290,-18.79148685981398
291,-20.138111049180736
292,-20.817630129878864
293,-30.38078865889013
294,-29.55752602147701
295,-20.27594607127098
296,-28.26476090582555
297,-32.677790171817435
298,-17.61633174299145
299,-21.27420742476866
300,-19.234908221013928
301,-22.30403600691379
302,-21.684377902047572
303,-30.8167773858313
304,-20.832194082482722
305,-22.78069668915075
306,-28.716421495690668
307,-22.493200763386284
308,-29.636437766905452
309,-16.93096541102792
310,-26.37722248144734
311,-24.44732898925474
312,-20.44068349893132
313,-21.16448350906429
314,-21.379357761539687
315,-22.512472390255454
316,-20.899625891080273
317,-30.098655518027307
318,-34.16727773792223
319,-36.60281487483509
320,-22.508038990428545
321,-22.052189222330263
322,-49.95709471096558
323,-33.443229618436334
324,-31.481324291672145
325,-41.88693098923823
326,-47.086182461629654
327,-43.4025320163702
328,-40.052830991540716
329,-46.48996312531786
330,-64.99955404814273
331,-43.30960423881115
332,-123.63053748985342
333,-110.58728275493124
334,-109.43633942651329
335,-100.55677427059173
336,-110.21809645412112
337,-46.18570406581596
338,-61.807177657598785
339,-73.93323386920176
340,-64.77422860357203
341,-96.11341186281234
342,-43.671066314530165
343,-73.2765041451346
344,-90.11209150741999
345,-58.88478759024785
346,-130.14655445704284
347,-93.84289938455572
348,-79.0804738446937
349,-34.75982843489937
350,-58.29717740387457
351,-44.83598513810514
352,-45.49335069635067
353,-52.14183947739248
354,-23.25489413458909
355,-70.37723195465753
356,-27.984234535888106
357,-74.08741037423479
358,-21.419553185675582
359,-66.67940196966785
360,-35.9993550656969
361,-25.00833374780727
362,-45.45694199876394
363,-46.25888381094214
364,-47.66349775077886
365,-65.18664784185296
366,-34.89969650704428
367,-66.04084150653729
368,-42.559586036245236
369,-65.43506778863234
370,-17.92619598863851
371,-76.11924661266053
372,-51.786793998252094
373,-66.88202235205898
374,-58.306342923953565
375,-24.013476694229247
376,-58.49802022212003
377,-31.722026573870327
378,-25.530352788410774
379,-27.463158889774885
380,-19.40833188143412
381,-40.37554993384372
382,-46.9993602764089
383,-55.128602032924945
384,-40.97317362778653
385,-29.739016843441505
386,-28.433467790996573
387,-16.396677287889332
388,-20.353676221843546
389,-43.19726623255458
390,-46.52431473391755
391,-34.03253857742451
392,-26.50787553157697
393,-31.373367018135692
394,-45.858593268647304
395,-40.704687149895804
396,-39.881703791617234
397,-49.612252151614065
398,-29.771271274797574
399,-20.295086752866865
400,-23.271532819225854
401,-37.2583854535299
402,-44.31919412738853
403,-43.28051453626657
404,-16.95335569695906
405,-16.35636935091474
406,-36.523237979174034
407,-30.31334200945313
408,-34.56993585914264
409,-34.10317082397318
410,-22.62152573320602
411,-28.01686952434211
412,-32.2701247957829
413,-23.250611899336413
414,-36.88381541731008
415,-37.843786394055286
416,-48.59658691172057
417,-30.287415623466444
418,-47.667245355507674
419,-42.617763313578195
420,0
421,-20.67081224719925
422,-28.082619095802404
423,-43.91928924769072
424,-35.5453504895234
425,-51.4924506090269
426,-61.9163523763154
427,-24.209534419481514
428,-31.548412341715512
429,-29.6742177119911
430,-36.00693429432741
431,-30.035822536417246
432,-41.81737966347273
433,-35.3159432856849
434,-34.27106596621961
435,-37.18147718297986
436,-46.41317076594497
437,-43.200242611191726
438,-20.304857403812264
439,-35.56406026246908
440,-50.55844771211857
441,-40.942960568891614
442,-56.65615116541949
443,-27.8849183287152
444,-54.690175306080356
445,-53.4685167757511
446,-88.54512098048028
447,-80.87850595716822
448,-44.89768149370391
449,-51.389953195412204
450,-32.534925042367014
451,-77.11055031891559
452,-46.651548881082576
453,-20.721151207790697
454,-42.56120153454401
455,-33.22934165438597
456,-28.374269248671222
457,-24.775712407751442
458,-31.334381541466495
459,-30.285830772204385
460,-37.87789324608456
461,-36.55482380763706
462,-49.046099876892825
463,-46.10264696808915
464,-63.35583804793005
465,-65.9529862141271
466,-45.32469458169997
467,-65.9866903558688
468,-51.23450453735936
469,-38.61348182460268
470,-77.82639438830249
471,-45.34678343843364
472,-34.55897495656576
473,-40.12648967137636
474,-63.864178155405924
475,-32.36629621533498
476,-38.29859941300613
477,-56.02518242905474
478,-22.507161900534193
479,-28.304098503035053
480,-115.8674231395034
481,-93.36405878024613
482,-49.2239257617343
483,-33.34673866345423
484,-100.28331552350168
485,-22.125874014430714
486,-44.19701347139528
487,-42.02924099497399
488,-44.69383051906719
489,-27.802467675546907
490,-90.84620319998146
491,-32.406711659436375
492,-34.66302462595762
493,-65.51800735730623
494,-46.76973776178117
495,-74.51444664016884
496,-45.71234225986108
497,-28.448655474648334
498,-37.30271743233632
499,-28.49391930039754
500,-39.246021329197774
501,-55.5644542211537
502,-47.44125534224818
503,-53.51212790386361
504,-48.25950365935086
505,-51.694008560387886
506,-63.90424712072992
507,-25.96035192553726
508,-17.51291076030102
509,-21.831680594376984
510,-22.43395865328788
511,-21.17431597377415
512,-26.915528050509643
513,-32.88461779559482
514,-32.346909784855626
515,-30.830690756440152
516,-37.77115997715403
517,-21.05774179394098
518,-45.57650539115254
519,-22.146683757216344
520,-39.035428989891834
521,-42.59936268792022
522,-35.63950378757146
523,-19.186341664910195
524,-31.932547293535908
525,-40.91127563463759
526,-25.543241287661925
527,-18.329134018587034
528,-22.24684160701519
529,-86.07601184560056
530,-38.49184298038317
531,-24.73703677200892
532,-22.839168654232544
533,-25.907550489788377
534,-31.039998970990332
535,-18.28972054058859
536,-44.294047577456624
