episode,total_reward
272,-3.446180957609822
273,-2.332551198984076
274,-3.183226876325457
275,-3.676004925820011
276,-3.006827212172838
277,-2.844646223741324
278,-2.886806583989271
279,-3.8027830972745438
280,-2.941286133074905
281,-3.256998433690381
282,-4.806115287370644
283,-2.153289451437798
284,-2.681132730198623
285,-4.202627691704773
286,-4.001871488557118
287,-3.686734446183914
288,-3.9426332517266522
289,-2.3819017443875956
290,-3.7259580120526383
291,-3.373192089988159
292,-2.4692450632597343
293,-1.8673162271848627
294,-2.8463670611631717
295,-3.08028925673193
296,-3.462780326510051
297,-3.4375855067836696
298,-2.958806116775787
299,-5.735263095561139
300,-3.793093857347325
301,-3.004225693820909
302,-3.311942748097688
303,-3.3831151931632197
304,-4.13915414501175
305,-2.7706276785382444
306,-2.4686037876459155
307,-3.2951965485039323
308,-2.5543371735203775
309,-3.1529001919914355
310,-3.5461860254776916
311,-3.5391900456609724
312,-3.3376084460597752
313,-2.5068800233279402
314,-2.673720872958611
315,-2.9845102177480047
316,-3.3252501014467715
317,-3.22774477932145
318,-2.859623877458556
319,-2.9091460164565244
320,-3.218438249705753
321,-3.44176561269099
322,-3.319877444053657
323,-3.3413501403099684
324,-3.5373592559559994
325,-2.7895363844523327
326,-3.469365982737164
327,-3.297360235983887
328,-3.7726712148701984
329,-3.7108868716759043
330,-2.3536874532492056
331,-3.5519810031814782
332,-3.3347750947480312
333,-2.1049814323986955
334,-2.263499846414695
335,-3.915742996511527
336,-3.88703182762906
337,-3.0139212878361312
338,-3.464017124238957
339,-2.699445634759501
340,-3.4909344194347707
341,-3.089570033807894
342,-3.6383384033572868
343,-4.451381362693174
344,-3.1213446866545724
345,-3.178252250634388
346,-3.7366202963196287
347,-2.5800312742381237
348,-2.6464421565556755
349,-3.0196360478396405
350,-2.409686159244755
351,-2.640552695748489
352,-2.359049869741249
353,-3.266449764251016
354,-3.5715639905698984
355,-2.466058814659129
356,-2.3562661967288685
357,-3.0003171179998125
358,-2.4149526828300076
359,-4.328451836030531
360,-4.278726121157883
361,-4.1510421272037465
362,-3.0940479077091854
363,-2.5497795958119314
364,-3.469459689610355
365,-2.2999360193738143
366,-3.145299401880173
367,-3.133881472941134
368,-3.20892114287756
369,-2.9274238622224056
370,-3.789474957525475
371,-2.2289704047852728
372,-2.70290643097233
373,-3.1689988536725613
374,-3.7159228403977567
375,-2.917516042098096
376,-2.8519884416266685
377,-1.6562800009890966
378,-3.5163414922657563
379,-3.169370900181752
380,-2.625004764456695
381,-3.290248047429659
382,-3.713412105725426
383,-3.437596968504964
384,-3.4366929563334243
385,-2.5627838289927203
386,-3.0970551935978046
387,-2.6173967744457127
388,-2.5760596433107157
389,-2.5892575819582784
390,-2.3012200017758406
391,-1.9698201856979716
392,-3.491587681637446
393,-3.1510724885629675
394,-3.140834496241329
395,-3.3457646038738598
396,-4.941171261526063
397,-3.1411937512984447
398,-3.0788304761883882
399,-2.8152760109384785
400,-3.4162808283167423
401,-3.4076740882214427
402,-2.2202791015551426
403,-2.869302966722622
404,-2.897665845822378
405,-2.787204414042579
406,-2.7171608466935866
407,-2.6628514442703843
408,-2.1174777384503236
409,-2.815652597393212
410,-3.163967348011389
411,-2.1213610251459043
412,-2.889402044721968
413,-2.69784188752221
414,-2.928209662036667
415,-3.087817365638276
416,-2.7419658074041955
417,-2.114864826010461
418,-2.403266661593551
419,-3.9332906507779257
420,-2.6664005444617462
421,-3.191471390797437
422,-3.6933802112248677
423,-3.777270397449114
424,-3.1939402467698974
425,-2.423044415230396
426,-3.37308786888618
427,-3.0757075373407323
428,-3.697810110310426
429,-2.448721881403988
430,-3.7555657663649957
431,-3.6930431647624875
432,-3.767684587543953
433,-3.186625017190374
434,-2.9226869530361554
435,-2.2544312554975456
436,-2.2497168296353878
437,-2.8413540487899094
438,-1.3009177546009774
439,-2.923591294181898
440,-3.2203079134344073
441,-3.510364370847515
442,-3.841282845641092
443,-3.5142936142406773
444,-2.4288271742603706
445,-3.346794849815418
446,-3.8583458816042007
447,-2.9294051497619007
448,-4.072874406404101
449,-2.1758166392664156
450,-2.056750712135603
451,-3.013936626157491
452,-2.7315994185236736
453,-2.7718285168860572
454,-3.8656214593388603
455,-3.8783004845928697
456,-3.2178696154567867
457,-2.9406174652377377
458,-3.0159805989206423
459,-3.3298051467233507
460,-3.306897976312312
461,-2.7753819797631256
462,-3.608992059587076
463,-2.944010451631214
464,-3.531080624137883
465,-3.1215726324013398
466,-2.882243156842325
467,-2.6528055482585686
468,-2.9082480458014586
469,-2.3690579862338614
470,-1.6913721891862918
471,-3.722187697252485
472,-3.024123483339518
473,-4.096917028654455
474,-3.685325900695852
475,-4.152507134631414
476,-1.9741910761696455
477,-2.5746050517958983
478,-2.320105064429311
479,-2.791067118543396
480,-3.040941208150887
481,-3.913762871330007
482,-3.2070641062613547
483,-1.8965932583780658
484,-3.703689321567599
485,-2.6923436916643695
486,-4.362343115229972
487,-2.2784935255989187
488,-2.9876932193801347
489,-2.070317054687359
490,-3.360662477134412
491,-2.9578159549608807
492,-2.5694575804462665
493,-3.159189808045144
494,-3.5850075298202695
495,-3.2405341771166603
496,-2.4409196511385107
497,-1.4005606427653392
498,-3.371108567420076
499,-3.0478937930567196
500,-2.6058442828925297
501,-2.8474435780316165
502,-4.234107474732902
503,-3.2660952600815936
504,-2.0219815004009334
505,-2.752233242872797
506,-4.260604299530998
507,-4.709309687650737
508,-3.2869773230396673
509,-2.1663095941828217
510,-3.479285230294506
511,-3.901148680264726
512,-3.0699108024622177
513,-5.2514723693694565
514,-2.8516601499093914
515,-2.772347414401355
516,-3.1478611928170297
517,-2.543965245743054
518,-2.4996607819270436
519,-2.149896518924837
520,-4.377385672101078
521,-2.460578551117421
522,-2.555379132226644
523,-2.1529572259718615
524,-2.9685622314451416
525,-4.055329719017528
526,-4.005227344541481
527,-2.1310468151317306
528,-3.9995073284494898
529,-2.4775587361377798
530,-3.3150708413695487
531,-3.1076077462020004
532,-2.5192832341200475
533,-2.3827936898492643
534,-2.8707097370935464
535,-1.2583685474583732
536,-2.955411302825121
537,-1.9725532651739517
538,-3.4776175427125566
539,-3.903906901575725
540,-2.4644254384222095
541,-3.504294228719112
542,-2.328766882144589
543,-2.6673234289255143
544,-2.8322941814667124
545,-3.7443588705963164
546,-2.428099486136553
547,-4.03025504549413
548,-2.199119424555892
549,-3.9185986581521823
550,-4.19149585361228
551,-4.0420529221088195
552,-5.2042451248859845
553,-2.7143982600102703
554,-3.014886361039052
555,-3.1964459022440304
556,-2.962300572282776
557,-2.3139919335377317
558,-3.807074787932436
559,-2.157552749462415
560,-3.560505818880726
561,-2.8168958973193403
562,-2.2649618573594426
563,-4.732773469240803
564,-3.4584397391294006
565,-2.885649661651169
566,-2.7391564021199577
567,-3.0022700204163684
568,-2.3563655290112004
569,-3.02392085739406
570,-3.4507712676306292
571,-2.6950509023288114
572,-2.95227451956948
573,-2.0900178952629425
574,-4.464274580619155
575,-4.026552221583126
576,-3.360825301985857
577,-3.178648122815984
578,-2.8043107272264276
579,-2.9506815583605706
580,-2.7816603846183194
581,-3.332856690945293
582,-3.2099392700685865
583,-2.9118226388419184
584,-2.744009695071042
585,-2.103901986051359
586,-3.135189538755746
587,-3.7623535564714303
588,-3.1078052685835726
589,-3.191774399141794
590,-2.7363453835474547
591,-2.6761230231359465
592,-3.3431854492675157
593,-1.88266105657673
594,-2.378192570917796
595,-2.5089913545887397
596,-3.013809614831569
597,-2.108859363948824
598,-3.818681481507776
599,-4.173372060095766
600,-3.102805449231098
601,-3.264715319002807
602,-2.8657451203457076
603,-2.2533265732093524
604,-2.9950628572142146
605,-3.1192618724335555
606,-1.8803777167613616
607,-3.6118598823716055
608,-3.023908531757813
609,-2.985972966825191
610,-2.8695292163816037
611,-2.776624813805255
612,-3.2802513468435577
613,-3.570064113538321
614,-2.0446729895569864
615,-3.535622757528197
616,-2.6530488206198
617,-3.5298964178215244
618,-3.8112006223157993
619,-3.572629629616972
620,-2.66516741400203
621,-3.934969200899749
622,-4.01578807676297
623,-3.2328770703053507
624,-3.268285414796013
625,-2.929442290704769
626,-3.682572135206261
627,-3.6252144907147605
628,-3.0359772117458426
629,-2.355132475762439
630,-3.156548614480874
631,-2.245990889283654
632,-2.9295932754117002
633,-3.7568002304780777
634,-3.7694664766805053
635,-3.054910411889956
636,-3.1001458300678655
637,-4.021074935490445
638,-3.138424443543587
639,-2.8885775014442867
640,-3.2024979941531893
641,-5.086841669774463
642,-1.7221275905884186
643,-2.5603508967003212
644,-3.700186948549653
645,-3.577417936260866
646,-4.286259793597253
647,-3.8220085390525664
648,-3.984615762144088
649,-3.516298296578709
650,-3.1859168355184107
651,-1.9869813111714536
652,-2.2773360154103552
653,-1.5794626256607107
654,-3.3539804058413627
655,-4.276708800614458
656,-2.3033283129258892
657,-3.6545317983416945
658,-3.066223362519825
659,-1.8318677039295652
660,-2.0422048258015284
661,-3.231211790923283
662,-3.9172370433709656
663,-2.8704038916913945
664,-2.3353437921040996
665,-3.085654458910104
666,-2.9306234816159416
667,-2.5153035966820942
668,-2.634479308168383
669,-2.5099367280986824
670,-2.3926541542957374
671,-2.8684057451660503
672,-3.9354798839065386
673,-3.2150201538765693
674,-2.8038127574838683
675,-3.395098506454093
676,-3.2433385711806944
677,-3.102722077593082
678,-3.3611115763271364
679,-2.625935631123272
680,-2.61854969072881
681,-3.3919592944808503
682,-2.5654153115703515
683,-3.3869581677857328
684,-1.9132861757217832
685,-2.8292916976507314
686,-2.300875027605871
687,-3.273815801219313
688,-2.2196651420645988
689,-3.946677945828829
690,-3.841521140589524
691,-3.929966778857978
692,-3.3833615126107697
693,-3.611772245703719
694,-3.019094050179432
695,-3.034867323939456
696,-3.441977512483093
697,-3.8874224590616113
698,-3.309166549375032
699,-2.4965254595171142
700,-3.2070447402690014
701,-3.2978022296921323
702,-2.690910576235166
703,-2.985181251431226
704,-1.9121565901150244
705,-3.615835248450331
706,-2.6975458739628255
707,-3.4582822423798385
708,-2.4409732494868397
709,-2.5666359412287614
710,-3.8039318828066513
711,-2.97076523565221
712,-3.243697235755372
713,-2.9282559737017126
714,-2.458433343340825
715,-3.5354370312320405
716,-4.352224836728002
717,-2.965501134811825
718,-3.6417785509435356
719,-2.3090671758256027
720,-4.0916356889946925
721,-4.116673851127689
722,-2.865813219094914
723,-3.1417345451525813
724,-2.4829852176910743
725,-3.3922514830631214
726,-4.352117282890491
727,-3.144901616268611
728,-3.184245938415918
729,-1.4580647562054176
730,-3.3724488155309027
731,-2.7804735810268166
732,-2.9553920296164096
733,-2.535432641183974
734,-1.8919635267853891
735,-2.5140810521722927
736,-3.323968048834224
737,-2.650215885907432
738,-1.4945517097552918
739,-2.5598068758540964
740,-2.525528648971824
741,-2.602693390782072
742,-3.650309970843369
743,-2.659964562937156
744,-3.367198548681958
745,-4.114939956452042
746,-3.9735849980184947
747,-3.242874850993231
748,-2.687315595377199
749,-3.067587544777451
750,-3.0603992158892335
751,-2.6585758366195873
752,-3.471795994749252
753,-3.6894240404528986
754,-2.2706363575998516
755,-3.233304428275746
756,-2.0169074081734237
757,-4.116899694506452
